Waktu Order,Waktu Bayar,Produk,Jenis Order,Total Penjualan (Rp),Metode Pembayaran,Kasir
25-08-2025 11:23:43,,"Banana Chocolate,Matcha,ChocoBerry,Tropicalush,White/Latte,Florana,Caramel,Chocolate,Matcha,BerryLush,Matcha,Banana Chocolate,Banana Chocolate,Chocolate,Matcha,Chocolate,Chocolate,Caramel,Red Velvet,Chocolate,Chocolate,BerryLush,Chocolate,BerryLush,Americano Peach,Florana,White/Latte,Americano Ice,Matcha,Air Mineral,BerryCha,ButterScotch,Florana,White/Latte,Florana,Matcha,Air Mineral,Florana,BerryLush,Matcha,Matcha,Florana,Tropicalush,BerryCano,Florana,Chocolate,Florana,Americano Ice,ChocoBerry,Banana,LemonBerry,LemonBerry,Florana,Florana,Florana,Vanilla,Hazelnut,BerryLush,Florana,BerryLush,Matcha,Florana,Matcha,Lemon Tea,Florana,Kukis ,Chocolate,Vanilla,Matcha,BerryLush,Ayam Geprek,Kukis ,Florana,Florana,ChocoBerry,Matcha,ChocoBerry,Ayam Geprek,BerryLush,BerryLush,Air Mineral,Florana,Vanilla,BerryLush,BerryLush,Ayam Geprek,Ayam Geprek,Kukis ,Vanilla",Table,"Rp2.160.000,00",,Mita
25-08-2025 12:39:53,,"Florana,Matcha,BerryLush,Chocolate,BerryLush,Chocolate,Caramel,Donat,BerryLush",Table,"Rp520.500,00",,Mita
25-08-2025 13:02:24,,"Matcha,Chocolate,Caramel,BerryLush",Table,"Rp209.250,00",,Mita
25-08-2025 13:03:57,,"Matcha,Florana,Chocolate,Banana Chocolate,BerryLush,Banana,Americano Peach",Table,"Rp127.500,00",,Mita
25-08-2025 13:07:41,,Red Velvet,Table,"Rp17.250,00",,Mita
25-08-2025 14:05:38,,"Florana,Americano Ice",Table,"Rp30.000,00",,Mita
25-08-2025 16:07:33,25-08-2025 16:07:52,Ayam Geprek,Lainnya,"Rp27.000,00",Cash,Zahra
25-08-2025 16:19:08,25-08-2025 16:21:28,ButterScotch,Table,"Rp17.250,00",Cash,Zahra
25-08-2025 16:37:05,25-08-2025 16:37:37,Ayam Geprek,Table,"Rp13.500,00",Cash,Zahra
25-08-2025 16:38:28,25-08-2025 16:38:39,Ayam Geprek,Table,"Rp13.500,00",Cash,Zahra
25-08-2025 16:41:19,25-08-2025 16:41:26,Ayam Geprek,Table,"Rp13.500,00",Cash,Zahra
25-08-2025 16:57:48,,"Chocolate,ButterScotch,BerryLush,Americano Hot,Matcha,ButterScotch,Chocolate,Matcha,Red Velvet,Matcha,Banana Chocolate,Matcha,Americano Ice,Kentang Goreng,Kentang Goreng,ChocoBerry,BerryLush,Americano Ice",Table,"Rp353.250,00",,Zahra
25-08-2025 17:15:45,25-08-2025 17:15:56,Banana Chocolate,Table,"Rp16.500,00",Cash,Zahra
25-08-2025 17:37:07,25-08-2025 17:37:28,Ayam Geprek,Table,"Rp13.500,00",Cash,Zahra
25-08-2025 17:38:11,25-08-2025 17:39:02,Air Mineral,Table,"Rp3.750,00",Cash,Zahra
25-08-2025 18:01:38,25-08-2025 18:17:43,"Americano Hot,ChocoBerry,Kentang Goreng",Lainnya,"Rp48.000,00",Cash,Zahra
25-08-2025 18:22:18,25-08-2025 18:22:40,Ayam Geprek,Table,"Rp13.500,00",Cash,Zahra
25-08-2025 18:28:38,25-08-2025 18:28:48,BerryLush,Table,"Rp18.750,00",Cash,Zahra
25-08-2025 18:35:57,,ChocoBerry,Table,"Rp20.250,00",,Zahra
25-08-2025 19:06:43,,"Florana,Kukis ",Table,"Rp43.500,00",,Zahra
25-08-2025 19:07:25,25-08-2025 22:22:07,"Americano Hot,Ayam Geprek,Matcha,Air Mineral",Table,"Rp129.750,00",Cash,Zahra
25-08-2025 19:24:58,25-08-2025 19:26:31,"Kentang Goreng,ChocoBerry,Florana,Kukis ,Americano Hot",Table,"Rp91.500,00",Cash,Zahra
25-08-2025 19:28:43,,BerryCano,Table,"Rp18.750,00",,Zahra
25-08-2025 19:29:48,,"BerryCano,Florana,Kentang Goreng,Americano Hot,Kukis ",Table,"Rp90.000,00",,Zahra
25-08-2025 19:42:22,25-08-2025 19:42:42,"Vanilla,ButterScotch",Table,"Rp34.500,00",Cash,Zahra
25-08-2025 20:02:24,,"Matcha,Americano Ice,BerryCha,Air Mineral,Hazelnut,BerryLush,Roti",Table,"Rp100.500,00",,Zahra
25-08-2025 20:30:32,25-08-2025 20:31:14,"Florana,Vanilla",Table,"Rp34.500,00",Cash,Zahra
25-08-2025 20:33:30,25-08-2025 20:33:51,Florana,Table,"Rp17.250,00",Cash,Zahra
25-08-2025 20:34:17,25-08-2025 20:35:47,"Hazelnut,Florana",Table,"Rp34.500,00",Cash,Zahra
25-08-2025 20:39:49,25-08-2025 20:39:57,Florana,Table,"Rp17.250,00",Cash,Zahra
25-08-2025 20:46:39,,"Americano Ice,BerryCha,Hazelnut,Matcha,Banana Chocolate,BerryCha,BerryCha,Matcha,Kentang Goreng,Roti,BerryLush,Caramel",Table,"Rp207.750,00",,Zahra
25-08-2025 20:48:33,25-08-2025 20:48:45,Caramel,Table,"Rp17.250,00",Cash,Zahra
25-08-2025 20:56:55,25-08-2025 20:57:48,Hazelnut,Table,"Rp17.250,00",Cash,Zahra
25-08-2025 21:02:05,25-08-2025 21:02:49,"Kentang Goreng,Roti",Table,"Rp24.000,00",Cash,Zahra
25-08-2025 21:07:46,25-08-2025 21:07:54,Americano Hot,Table,"Rp11.250,00",Cash,Zahra
25-08-2025 21:37:08,,BerryLush,Table,"Rp75.000,00",,Zahra
25-08-2025 21:49:07,25-08-2025 22:05:32,"BerryLush,BerryLush",Table,"Rp93.750,00",Cash,Zahra
25-08-2025 21:55:43,25-08-2025 21:55:58,ButterScotch,Table,"Rp17.250,00",Cash,Zahra
25-08-2025 22:00:36,25-08-2025 22:01:06,Florana,Table,"Rp17.250,00",Cash,Zahra
26-08-2025 09:56:53,26-08-2025 09:58:31,"Ayam Geprek,Banana Chocolate,Americano Peach",Table,"Rp64.000,00",Cash,Jian Andika
26-08-2025 10:04:06,26-08-2025 10:04:42,Air Mineral,Table,"Rp5.000,00",Cash,Jian Andika
26-08-2025 13:47:10,26-08-2025 13:47:36,Donat,Table,"Rp20.000,00",Cash,Jian Andika
26-08-2025 15:01:06,26-08-2025 15:02:53,Americano Peach,Table,"Rp25.000,00",Cash,Jian Andika
26-08-2025 15:14:42,26-08-2025 15:16:39,Tropicalush,Table,"Rp25.000,00",Cash,Jian Andika
26-08-2025 15:43:37,26-08-2025 15:43:52,Americano Ice,Table,"Rp17.000,00",Cash,Jian Andika
26-08-2025 15:56:06,26-08-2025 15:56:48,Donat,Table,"Rp10.000,00",Cash,Jian Andika
26-08-2025 16:04:02,26-08-2025 16:04:38,Ayam Geprek,Table,"Rp17.000,00",Cash,Jian Andika
26-08-2025 16:09:49,26-08-2025 16:57:17,"Americano Peach,BerryLush,Ubi Goreng,Mie Goreng,Air Mineral,Donat",Table,"Rp145.000,00",Cash,Jian Andika
26-08-2025 16:11:19,26-08-2025 16:11:38,Caramel,Table,"Rp23.000,00",Cash,Jian Andika
26-08-2025 16:41:37,26-08-2025 16:42:22,Vanilla,Table,"Rp23.000,00",Cash,Jian Andika
26-08-2025 17:05:36,26-08-2025 17:50:27,"Hazelnut,Banana",Lainnya,"Rp46.000,00",Cash,Mita
26-08-2025 17:12:35,26-08-2025 17:12:38,Donat,Lainnya,"Rp10.000,00",Cash,Mita
26-08-2025 17:12:57,26-08-2025 17:13:03,Ayam Geprek,Lainnya,"Rp17.000,00",Cash,Mita
26-08-2025 17:24:22,26-08-2025 17:43:04,"BerryLush,Chocolate,Kukis ,Roti",Lainnya,"Rp77.000,00",Cash,Mita
26-08-2025 18:04:04,26-08-2025 18:06:21,"Sup Ubi,Mie Goreng,Air Mineral,Matcha",Table,"Rp124.000,00",Cash,Mita
